customer_id,customer_name,phone,email,gender,city,join_date
1,Riya Koley,9523938499,customer1@mail.com,Male,Howrah,2026-07-03
2,Rahul Dutta,9725763863,customer2@mail.com,Male,New Town,2025-02-08
3,Rahul Sen,9549008934,customer3@mail.com,Male,New Town,2025-04-03
4,Rohit Sen,9163469421,customer4@mail.com,Male,New Town,2025-03-05
5,Sneha Mondal,9525932421,customer5@mail.com,Male,New Town,2025-02-17
6,Rohit Koley,9410965605,customer6@mail.com,Female,Salt Lake,2026-07-08
7,Rahul Mondal,9431229838,customer7@mail.com,Male,Howrah,2025-07-12
8,Riya Roy,9688136138,customer8@mail.com,Male,Kolkata,2025-07-30
9,Sayan Banerjee,9559123743,customer9@mail.com,Female,Behala,2026-04-10
10,Riya Paul,9366746013,customer10@mail.com,Male,New Town,2025-03-25
11,Sneha Paul,9663925448,customer11@mail.com,Female,Barasat,2026-04-05
12,Priya Mondal,9178598835,customer12@mail.com,Male,Bally,2025-06-18
13,Neha Dutta,9263192149,customer13@mail.com,Female,Bally,2025-02-10
14,Debasish Roy,9920951719,customer14@mail.com,Female,Barasat,2025-12-25
15,Sneha Mitra,9722657734,customer15@mail.com,Female,Howrah,2025-04-06
16,Priya Mitra,9848443217,customer16@mail.com,Male,Kolkata,2025-11-14
17,Debasish Mondal,9831472844,customer17@mail.com,Female,Dum Dum,2026-01-31
18,Abhishek Dutta,9124226753,customer18@mail.com,Female,Barasat,2025-06-22
19,Sneha Roy,9630098818,customer19@mail.com,Male,New Town,2025-10-22
20,Sourav Ghosh,9527239380,customer20@mail.com,Female,Behala,2025-03-24
21,Sourav Mitra,9531262237,customer21@mail.com,Female,Salt Lake,2026-03-17
22,Puja Banerjee,9398952339,customer22@mail.com,Female,Barasat,2026-01-25
23,Ananya Koley,9189104138,customer23@mail.com,Male,Salt Lake,2025-08-26
24,Debasish Ghosh,9112952615,customer24@mail.com,Female,Salt Lake,2025-09-27
25,Priya Das,9256418835,customer25@mail.com,Female,Barasat,2026-08-03
26,Riya Koley,9841411915,customer26@mail.com,Male,Behala,2026-07-27
27,Amit Sen,9528400257,customer27@mail.com,Female,Howrah,2026-05-09
28,Debasish Sen,9166838090,customer28@mail.com,Male,Howrah,2025-08-02
29,Sayan Koley,9218034622,customer29@mail.com,Female,Kolkata,2025-04-15
30,Arjun Mondal,9262419487,customer30@mail.com,Male,Barasat,2025-01-27
31,Rahul Ghosh,9759351559,customer31@mail.com,Female,Salt Lake,2025-09-16
32,Riya Mondal,9491017514,customer32@mail.com,Female,Howrah,2025-04-29
33,Puja Mitra,9600352373,customer33@mail.com,Female,Behala,2025-11-16
34,Rahul Koley,9209723116,customer34@mail.com,Female,Dum Dum,2026-05-06
35,Puja Koley,9654409968,customer35@mail.com,Male,New Town,2026-06-25
36,Riya Koley,9840954425,customer36@mail.com,Male,Dum Dum,2025-04-04
37,Soham Paul,9656624390,customer37@mail.com,Female,Salt Lake,2025-12-31
38,Neha Ghosh,9671866729,customer38@mail.com,Female,New Town,2025-07-19
39,Neha Ghosh,9978678309,customer39@mail.com,Female,New Town,2025-07-24
40,Rohit Mitra,9481782371,customer40@mail.com,Male,Kolkata,2025-10-14
41,Sayan Paul,9307924673,customer41@mail.com,Female,Behala,2025-12-24
42,Riya Roy,9336719616,customer42@mail.com,Male,New Town,2026-04-27
43,Ananya Dutta,9319444228,customer43@mail.com,Female,Kolkata,2026-05-06
44,Abhishek Dutta,9958610934,customer44@mail.com,Male,Howrah,2026-02-02
45,Neha Ghosh,9613283748,customer45@mail.com,Male,Bally,2025-12-07
46,Rahul Sen,9597314843,customer46@mail.com,Female,Howrah,2025-06-12
47,Sourav Koley,9129580354,customer47@mail.com,Male,Behala,2025-05-30
48,Sneha Mondal,9609336875,customer48@mail.com,Female,Salt Lake,2026-07-16
49,Rohit Koley,9122974508,customer49@mail.com,Male,Howrah,2026-06-24
50,Soham Koley,9565799330,customer50@mail.com,Male,New Town,2025-01-29
51,Priya Ghosh,9414570548,customer51@mail.com,Male,Barasat,2025-09-23
52,Rohit Sen,9995710061,customer52@mail.com,Male,Kolkata,2025-12-29
53,Abhishek Mitra,9811326932,customer53@mail.com,Female,Salt Lake,2026-06-29
54,Sourav Banerjee,9648195686,customer54@mail.com,Male,Behala,2025-07-07
55,Sneha Das,9933265493,customer55@mail.com,Male,Salt Lake,2025-05-25
56,Sayan Mondal,9878670347,customer56@mail.com,Male,Kolkata,2025-11-30
57,Debasish Banerjee,9669863085,customer57@mail.com,Female,Howrah,2026-07-28
58,Arjun Ghosh,9305413398,customer58@mail.com,Female,Kolkata,2025-04-11
59,Rohit Mitra,9703152336,customer59@mail.com,Male,Howrah,2026-03-30
60,Riya Mondal,9642833537,customer60@mail.com,Male,Dum Dum,2026-04-09
61,Rohit Banerjee,9966898501,customer61@mail.com,Female,New Town,2026-06-20
62,Abhishek Paul,9700773368,customer62@mail.com,Male,Behala,2025-05-21
63,Amit Roy,9521298041,customer63@mail.com,Female,Barasat,2025-03-16
64,Debasish Ghosh,9559925153,customer64@mail.com,Male,New Town,2025-11-07
65,Neha Roy,9934225020,customer65@mail.com,Male,Barasat,2025-05-27
66,Priya Koley,9602227527,customer66@mail.com,Male,Howrah,2026-02-12
67,Abhishek Mitra,9274799977,customer67@mail.com,Male,Salt Lake,2026-03-18
68,Rohit Sen,9464123187,customer68@mail.com,Female,New Town,2026-01-01
69,Riya Roy,9875403552,customer69@mail.com,Female,Kolkata,2025-12-13
70,Rohit Mitra,9572938280,customer70@mail.com,Male,Bally,2025-12-06
71,Rohit Mondal,9417241432,customer71@mail.com,Male,Howrah,2025-08-23
72,Abhishek Roy,9190260096,customer72@mail.com,Female,Dum Dum,2025-02-10
73,Abhishek Koley,9390389284,customer73@mail.com,Male,Bally,2025-09-22
74,Amit Koley,9676168666,customer74@mail.com,Female,Barasat,2025-04-02
75,Priya Das,9958550599,customer75@mail.com,Male,Bally,2025-03-16
76,Priya Das,9781224235,customer76@mail.com,Male,Dum Dum,2025-03-27
77,Sneha Ghosh,9171535405,customer77@mail.com,Female,Howrah,2026-04-10
78,Arjun Dutta,9693848076,customer78@mail.com,Female,Dum Dum,2025-05-13
79,Arjun Banerjee,9861859251,customer79@mail.com,Male,Howrah,2025-06-15
